                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.4619,                 1.1283,                 1.3686,                0.81376,                0.78202,                0.81297,                0.46657,                 1.4838,                 1.0725,                 1.3142,              0.0010626,              0.0010626,              0.0010626
                     46,                 1.4431,                 1.0563,                 1.2707,                0.78169,                0.77637,                 0.8344,                0.41931,                 1.6777,                 1.0934,                 1.4589,              0.0010615,              0.0010615,              0.0010615
                     47,                 1.4527,                 1.1349,                  1.295,                0.84114,                0.78878,                 0.8089,                 0.4627,                 1.7465,                 1.1539,                 1.4167,              0.0010604,              0.0010604,              0.0010604
                     48,                 1.4482,                 1.0839,                 1.3068,                0.81294,                0.74174,                0.82613,                0.45411,                 1.4996,                 1.1631,                  1.301,              0.0010593,              0.0010593,              0.0010593
                     49,                 1.4589,                 1.0773,                 1.3423,                0.69195,                 0.7954,                0.82021,                0.47102,                 1.4915,                 1.0938,                 1.2758,              0.0010582,              0.0010582,              0.0010582
                     50,                 1.4283,                  1.026,                 1.2851,                0.83955,                0.77002,                0.80663,                0.43801,                 1.4369,                 1.2631,                 1.3015,              0.0010571,              0.0010571,              0.0010571
                     51,                 1.4715,                 1.0851,                 1.3214,                0.83715,                0.76608,                0.83793,                0.48652,                 1.5039,                 1.0336,                 1.2718,               0.001056,               0.001056,               0.001056
                     52,                 1.3942,                  1.022,                 1.2697,                0.83378,                0.78874,                0.83093,                0.47742,                 1.3759,                   1.02,                 1.2324,              0.0010549,              0.0010549,              0.0010549
                     53,                  1.352,                 1.0574,                 1.2701,                0.82173,                0.59278,                0.75202,                0.46386,                 1.3875,                 1.2344,                 1.2729,              0.0010538,              0.0010538,              0.0010538
                     54,                 1.3451,                 1.0378,                 1.2248,                0.75565,                0.77105,                0.78404,                0.46771,                 1.5056,                 1.0927,                 1.2937,              0.0010527,              0.0010527,              0.0010527
                     55,                 1.3422,                 1.0035,                 1.2249,                0.82081,                0.75445,                0.83343,                0.47212,                 1.4993,                 1.1254,                  1.303,              0.0010516,              0.0010516,              0.0010516
                     56,                 1.3594,                 1.0429,                 1.2488,                  0.825,                0.83952,                0.85621,                0.53167,                 1.4106,                 1.0449,                 1.2759,              0.0010505,              0.0010505,              0.0010505
                     57,                 1.3495,                 1.0338,                 1.2413,                0.89315,                0.74391,                0.86078,                0.50675,                 1.4583,                0.97541,                 1.2633,              0.0010494,              0.0010494,              0.0010494
                     58,                 1.3838,                 1.0151,                 1.2559,                0.86793,                0.73463,                0.79408,                0.47497,                 1.4441,                 1.1201,                 1.2642,              0.0010483,              0.0010483,              0.0010483
                     59,                 1.3963,                 1.0178,                 1.2506,                0.89222,                0.76311,                0.85516,                0.52649,                 1.3242,                0.96584,                 1.2446,              0.0010472,              0.0010472,              0.0010472
                     60,                  1.391,                 1.0005,                  1.283,                0.88873,                0.83134,                0.85938,                   0.54,                 1.3369,                0.94631,                 1.2033,              0.0010461,              0.0010461,              0.0010461
                     61,                 1.2778,                0.92211,                 1.2086,                0.84227,                0.83197,                0.85561,                0.53175,                 1.4445,                 1.0278,                 1.2318,               0.001045,               0.001045,               0.001045
                     62,                 1.3555,                0.99088,                 1.2488,                0.88832,                0.77259,                0.85001,                0.52063,                 1.3646,                0.91949,                 1.2279,              0.0010439,              0.0010439,              0.0010439
                     63,                 1.3023,                0.93067,                 1.2275,                0.85698,                0.77827,                0.83423,                0.48294,                 1.4817,                 1.0975,                 1.2878,              0.0010428,              0.0010428,              0.0010428
