                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 1.2448,                0.84823,                 1.1694,                0.86579,                 0.8008,                 0.8542,                0.53319,                 1.2658,                0.86358,                 1.1461,             0.00099001,             0.00099001,             0.00099001
                    112,                  1.242,                0.92338,                 1.1393,                0.84349,                0.76402,                0.82595,                0.49515,                 1.2584,                0.78649,                 1.1513,             0.00098891,             0.00098891,             0.00098891
                    113,                 1.2288,                0.88496,                 1.1786,                0.88684,                0.72198,                0.84197,                0.49861,                 1.3248,                 0.9066,                 1.1796,             0.00098781,             0.00098781,             0.00098781
                    114,                 1.2346,                0.88639,                 1.1428,                0.89077,                0.74734,                0.82382,                0.48169,                 1.3646,                   0.86,                 1.2342,             0.00098671,             0.00098671,             0.00098671
                    115,                 1.1989,                0.84277,                 1.1294,                0.89116,                 0.7456,                0.83131,                0.50866,                 1.3421,                0.87705,                 1.2004,             0.00098561,             0.00098561,             0.00098561
                    116,                 1.2615,                0.82849,                 1.1664,                0.88859,                0.70569,                0.82443,                 0.5155,                 1.2504,                0.86356,                 1.1506,             0.00098451,             0.00098451,             0.00098451
                    117,                  1.244,                0.86351,                 1.1434,                0.86773,                0.70106,                0.79421,                0.48742,                 1.2828,                0.86074,                 1.1501,             0.00098341,             0.00098341,             0.00098341
                    118,                 1.1443,                0.79941,                 1.1458,                0.83897,                0.77371,                0.83926,                0.51024,                 1.3039,                0.92563,                 1.1383,             0.00098231,             0.00098231,             0.00098231
                    119,                 1.2228,                0.84786,                 1.2023,                0.91522,                0.73581,                 0.8135,                0.49999,                 1.2849,                 0.8745,                 1.1627,             0.00098121,             0.00098121,             0.00098121
                    120,                 1.2154,                0.80262,                 1.1483,                0.86096,                0.77334,                 0.8403,                0.51529,                 1.2534,                0.86983,                 1.1585,             0.00098011,             0.00098011,             0.00098011
                    121,                  1.205,                0.83637,                 1.1341,                 0.8955,                0.76933,                0.85036,                0.50721,                 1.2611,                0.81699,                 1.1501,             0.00097901,             0.00097901,             0.00097901
                    122,                 1.2028,                0.83804,                 1.1592,                0.89052,                0.78717,                0.84485,                0.51453,                 1.2945,                 0.7462,                 1.1673,             0.00097791,             0.00097791,             0.00097791
                    123,                 1.2007,                0.83376,                 1.1622,                0.84071,                0.76146,                0.83648,                0.51639,                 1.3933,                0.92912,                 1.1795,             0.00097681,             0.00097681,             0.00097681
                    124,                  1.173,                0.81259,                 1.1246,                0.87973,                0.74014,                 0.8399,                 0.5255,                 1.3455,                0.84895,                 1.1868,             0.00097571,             0.00097571,             0.00097571
                    125,                 1.2189,                0.81935,                 1.1474,                0.86063,                0.79336,                0.86426,                 0.5605,                 1.2707,                 0.8183,                 1.1347,             0.00097461,             0.00097461,             0.00097461
                    126,                 1.1854,                0.85453,                 1.1433,                0.91805,                0.76685,                 0.8408,                0.52891,                  1.216,                0.82618,                 1.1274,             0.00097351,             0.00097351,             0.00097351
                    127,                  1.234,                0.84457,                 1.1293,                0.87782,                0.76008,                0.83415,                0.51045,                 1.2288,                0.84617,                 1.1556,             0.00097241,             0.00097241,             0.00097241
