                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.2328,                0.84334,                 1.1414,                 0.8779,                0.79366,                0.85718,                0.51761,                  1.361,                0.92252,                 1.3401,              0.0010747,              0.0010747,              0.0010747
                     68,                 1.1917,                0.80066,                 1.1218,                 0.8067,                0.85831,                0.87187,                0.47843,                 1.4802,                0.97931,                 1.4005,              0.0010742,              0.0010742,              0.0010742
                     69,                 1.1423,                0.79784,                 1.1591,                0.85569,                0.87363,                0.87638,                 0.5482,                 1.3364,                0.84699,                  1.341,              0.0010736,              0.0010736,              0.0010736
                     70,                 1.1841,                0.82276,                 1.1729,                0.88382,                0.69366,                0.83211,                0.53599,                 1.2254,                0.96872,                 1.2581,              0.0010731,              0.0010731,              0.0010731
                     71,                 1.1835,                0.81041,                 1.1347,                0.88535,                0.78791,                0.84484,                0.55489,                 1.2349,                0.92307,                 1.2751,              0.0010725,              0.0010725,              0.0010725
                     72,                 1.1901,                0.77602,                 1.1433,                0.82835,                0.75829,                0.85265,                 0.5235,                 1.2775,                0.99279,                 1.3082,               0.001072,               0.001072,               0.001072
                     73,                  1.171,                0.80856,                 1.1187,                0.92378,                0.83176,                0.88321,                0.56994,                 1.2134,                 0.8312,                 1.2514,              0.0010714,              0.0010714,              0.0010714
                     74,                 1.1439,                0.73872,                 1.0916,                0.96213,                0.77939,                0.84643,                0.55618,                 1.2677,                0.84873,                 1.2613,              0.0010709,              0.0010709,              0.0010709
                     75,                 1.1151,                0.74933,                 1.1084,                0.86574,                 0.8298,                0.84885,                0.54852,                 1.2852,                0.82305,                 1.2998,              0.0010703,              0.0010703,              0.0010703
                     76,                 1.0917,                0.77667,                 1.1285,                0.86791,                 0.8301,                0.88883,                0.54417,                 1.2649,                0.88971,                 1.3382,              0.0010698,              0.0010698,              0.0010698
                     77,                 1.1811,                0.80068,                 1.1228,                0.90841,                0.79699,                0.86578,                0.57027,                 1.1855,                0.91558,                 1.2495,              0.0010692,              0.0010692,              0.0010692
                     78,                 1.1279,                0.81881,                 1.1429,                0.74212,                0.75389,                 0.8134,                0.53393,                  1.223,                 1.0981,                  1.282,              0.0010687,              0.0010687,              0.0010687
                     79,                 1.1029,                0.78065,                 1.1143,                 0.8618,                0.83297,                0.84631,                0.56177,                 1.2966,                0.82745,                 1.2717,              0.0010681,              0.0010681,              0.0010681
                     80,                 1.1001,                 0.7494,                 1.0905,                0.88186,                0.70082,                0.86092,                0.53096,                 1.2902,                0.94289,                 1.3167,              0.0010676,              0.0010676,              0.0010676
                     81,                 1.0945,                0.78057,                 1.0982,                0.95153,                0.78976,                0.87893,                0.56887,                 1.2167,                0.81196,                 1.2636,               0.001067,               0.001067,               0.001067
                     82,                 1.0969,                0.72398,                 1.0903,                0.93678,                0.70485,                0.82733,                0.50723,                 1.3025,                0.89719,                 1.3517,              0.0010665,              0.0010665,              0.0010665
