                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.1187,                0.73018,                 1.0883,                0.89916,                0.87621,                0.92414,                 0.5892,                 1.2363,                0.71525,                 1.1351,              0.0010076,              0.0010076,              0.0010076
                     96,                 1.0418,                0.69018,                 1.0762,                0.88982,                0.81918,                0.87966,                0.54202,                 1.1734,                0.79839,                 1.1111,              0.0010065,              0.0010065,              0.0010065
                     97,                 1.0386,                0.68239,                 1.0688,                0.87785,                0.85845,                0.91312,                0.56555,                 1.2426,                0.71483,                 1.1464,              0.0010054,              0.0010054,              0.0010054
                     98,                 1.0884,                 0.6722,                 1.0665,                0.85997,                0.86385,                0.91208,                0.61632,                 1.0909,                0.76615,                 1.0794,              0.0010043,              0.0010043,              0.0010043
                     99,                 1.0252,                0.71418,                 1.0599,                0.88572,                0.87475,                0.92833,                0.59918,                 1.2506,                0.71056,                 1.1361,              0.0010032,              0.0010032,              0.0010032
                    100,                 1.0542,                0.69643,                 1.0886,                0.90899,                0.82953,                0.91619,                0.58783,                 1.1453,                0.69089,                 1.0947,              0.0010021,              0.0010021,              0.0010021
                    101,                 1.0282,                0.64984,                 1.0708,                 0.9229,                 0.8086,                0.87135,                0.57802,                 1.2266,                0.73285,                 1.1567,               0.001001,               0.001001,               0.001001
                    102,                  1.141,                0.75714,                  1.095,                0.86839,                0.86163,                0.88873,                0.56452,                 1.1524,                0.72787,                 1.1101,             0.00099991,             0.00099991,             0.00099991
                    103,                 1.0727,                0.72854,                 1.0889,                0.90882,                0.82749,                0.90845,                0.58026,                 1.1355,                0.72066,                 1.1098,             0.00099881,             0.00099881,             0.00099881
                    104,                 1.0238,                 0.6703,                 1.0603,                0.87721,                0.89605,                0.91643,                0.61394,                 1.1357,                0.67163,                 1.1183,             0.00099771,             0.00099771,             0.00099771
                    105,                 1.0548,                0.70335,                 1.1073,                0.96141,                 0.8351,                 0.8996,                0.59527,                 1.1748,                0.68122,                  1.107,             0.00099661,             0.00099661,             0.00099661
                    106,                 1.1052,                0.69301,                 1.0878,                0.94686,                0.77826,                0.90147,                0.57152,                  1.259,                0.88104,                  1.135,             0.00099551,             0.00099551,             0.00099551
                    107,                 1.0385,                 0.6575,                 1.0678,                0.86625,                 0.8445,                0.89248,                0.58814,                 1.1579,                0.72975,                 1.1099,             0.00099441,             0.00099441,             0.00099441
                    108,                 1.0316,                0.68207,                 1.0586,                0.94959,                0.78988,                0.89137,                0.58686,                 1.2653,                0.75343,                 1.1239,             0.00099331,             0.00099331,             0.00099331
                    109,                0.99258,                0.66288,                 1.0391,                0.91051,                 0.8467,                0.91701,                0.59853,                 1.1772,                0.69356,                 1.0723,             0.00099221,             0.00099221,             0.00099221
                    110,                0.99832,                0.65236,                 1.0447,                 0.8097,                0.90592,                0.90099,                0.59656,                  1.127,                0.73339,                 1.0619,             0.00099111,             0.00099111,             0.00099111
                    111,                 1.0355,                0.64929,                  1.062,                0.93184,                0.80797,                0.90498,                0.59398,                 1.1018,                0.67979,                 1.0691,             0.00099001,             0.00099001,             0.00099001
                    112,                 1.0646,                0.67146,                 1.0451,                0.95451,                0.84157,                0.89931,                0.57769,                 1.1709,                0.74615,                 1.1154,             0.00098891,             0.00098891,             0.00098891
                    113,                 1.0351,                0.66602,                 1.0751,                0.89604,                0.85464,                0.89294,                0.59612,                 1.1613,                0.76165,                  1.126,             0.00098781,             0.00098781,             0.00098781
                    114,                0.98646,                0.63909,                 1.0266,                0.90678,                0.87107,                0.89456,                0.58109,                 1.1536,                0.72569,                 1.0808,             0.00098671,             0.00098671,             0.00098671
