                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.7412,                 1.6511,                 1.4618,                 2.0097,                 2.3526,                 1.3687,                0.50259,                0.46907,                0.50157,                0.25724,                 1.6987,                 1.7659,                 1.4261,                 1.7764,                 2.4278,                  1.242,              0.0010714,              0.0010714,              0.0010714
                     39,                 1.7464,                 1.6251,                 1.4734,                 1.9484,                  2.264,                 1.3466,                 0.6347,                 0.4664,                0.53859,                0.27358,                   1.64,                 1.6379,                 1.4345,                 1.7205,                 2.3134,                  1.268,              0.0010703,              0.0010703,              0.0010703
                     40,                  1.655,                 1.5612,                 1.4363,                 1.9368,                 2.1976,                  1.317,                0.57083,                0.53803,                0.53054,                0.28821,                 1.6016,                 1.5808,                 1.3944,                 1.8088,                 2.4061,                 1.2645,              0.0010692,              0.0010692,              0.0010692
                     41,                 1.6862,                 1.5123,                 1.4464,                 1.8976,                 2.1044,                 1.3316,                0.49696,                0.46534,                0.50624,                0.27588,                 1.6936,                 1.6411,                  1.403,                 2.0206,                 2.2652,                 1.2789,              0.0010681,              0.0010681,              0.0010681
                     42,                  1.775,                 1.5776,                 1.4495,                 1.9904,                 2.1488,                 1.3318,                0.44993,                 0.4848,                0.47713,                0.24238,                 1.6768,                 1.7997,                 1.4509,                 1.9599,                 2.3937,                 1.2804,               0.001067,               0.001067,               0.001067
                     43,                 1.6798,                 1.5155,                 1.4083,                 1.9364,                 2.0934,                 1.2812,                0.72097,                0.40873,                0.53531,                0.29193,                 1.6718,                 1.8555,                 1.3918,                 1.8348,                 2.2501,                 1.2121,              0.0010659,              0.0010659,              0.0010659
                     44,                 1.6509,                 1.5142,                 1.3986,                 1.9382,                 2.0979,                 1.3044,                0.46429,                0.51855,                0.51848,                0.27545,                 1.6083,                 1.5227,                 1.3847,                  1.943,                 2.1716,                 1.2423,              0.0010648,              0.0010648,              0.0010648
                     45,                 1.6792,                  1.528,                 1.4352,                 1.8916,                 2.1659,                 1.3318,                0.67683,                0.47417,                0.54527,                0.25758,                 1.6116,                 1.5552,                 1.4167,                  1.904,                 2.1345,                 1.2866,              0.0010637,              0.0010637,              0.0010637
                     46,                 1.6619,                 1.4212,                 1.3718,                 1.9341,                 1.9822,                 1.2723,                0.66302,                0.52648,                0.60598,                0.29301,                 1.5664,                 1.5034,                 1.4141,                 1.7745,                  2.052,                 1.2495,              0.0010626,              0.0010626,              0.0010626
                     47,                 1.7013,                 1.4893,                 1.3985,                 1.9451,                 2.0366,                 1.2897,                0.63467,                 0.4141,                0.53974,                0.27044,                 1.7306,                 1.5374,                 1.4515,                 1.9874,                 2.1364,                 1.3373,              0.0010615,              0.0010615,              0.0010615
                     48,                 1.6758,                 1.4256,                 1.4196,                 1.9238,                 1.9619,                 1.3097,                0.62181,                0.47947,                 0.5932,                0.29874,                 1.6764,                 1.6253,                 1.4161,                 1.8981,                 2.1062,                 1.2907,              0.0010604,              0.0010604,              0.0010604
                     49,                  1.659,                 1.4816,                 1.4076,                 1.9489,                 1.9976,                 1.2969,                0.57343,                0.60116,                0.64304,                0.34526,                 1.6825,                 1.5353,                 1.4048,                 1.7964,                 1.9547,                 1.2914,              0.0010593,              0.0010593,              0.0010593
                     50,                 1.5606,                 1.3142,                 1.3496,                 1.8338,                 1.7997,                 1.2249,                 0.6021,                0.46676,                0.59727,                0.33417,                 1.6168,                 1.5332,                  1.452,                 1.8421,                  2.015,                 1.3392,              0.0010582,              0.0010582,              0.0010582
                     51,                 1.5899,                 1.4166,                 1.3771,                 1.8936,                 1.9229,                 1.2924,                0.57164,                0.57891,                0.56834,                0.29388,                 1.5422,                 1.4668,                 1.3202,                 1.7833,                 1.9849,                 1.1849,              0.0010571,              0.0010571,              0.0010571
                     52,                 1.5569,                 1.3864,                 1.3318,                 1.8509,                 1.8766,                 1.2414,                0.51275,                0.55528,                0.56122,                0.30795,                  1.626,                 1.4284,                 1.3892,                  1.914,                 1.9596,                 1.2169,               0.001056,               0.001056,               0.001056
                     53,                 1.5405,                 1.3312,                 1.3382,                 1.8413,                 1.8219,                 1.2434,                0.55609,                0.50502,                0.60451,                0.35053,                 1.5511,                 1.5041,                 1.3902,                 1.7105,                 1.9125,                 1.2114,              0.0010549,              0.0010549,              0.0010549
                     54,                 1.5509,                    1.3,                 1.3381,                 1.7908,                 1.7736,                 1.2407,                0.58799,                 0.5792,                0.62378,                0.34384,                 1.4514,                 1.3322,                 1.3049,                 1.8236,                  1.763,                 1.2161,              0.0010538,              0.0010538,              0.0010538
                     55,                 1.5641,                 1.2806,                  1.325,                 1.8148,                  1.725,                 1.2223,                0.51577,                0.68652,                0.65337,                0.34514,                 1.5231,                 1.4596,                 1.3592,                 1.7281,                 1.7725,                 1.2348,              0.0010527,              0.0010527,              0.0010527
                     56,                  1.552,                  1.337,                  1.333,                 1.8539,                 1.8303,                 1.2665,                0.53811,                0.56642,                0.59665,                0.33448,                 1.5884,                 1.4761,                 1.3902,                 1.8058,                 1.6952,                 1.2305,              0.0010516,              0.0010516,              0.0010516
                     57,                 1.5984,                 1.3108,                 1.3574,                 1.8866,                 1.8056,                 1.2748,                0.59696,                0.56563,                0.60315,                0.31844,                 1.5972,                 1.6152,                 1.3647,                 1.7279,                  2.031,                 1.1842,              0.0010505,              0.0010505,              0.0010505
                     58,                 1.5367,                 1.2929,                 1.3108,                 1.7959,                 1.7263,                 1.2073,                0.56629,                0.57002,                0.62531,                0.34247,                 1.6569,                 1.5362,                 1.3764,                  1.783,                 1.8885,                  1.242,              0.0010494,              0.0010494,              0.0010494
                     59,                 1.5942,                 1.2615,                 1.3296,                 1.8792,                 1.7705,                 1.2594,                0.72111,                0.56756,                0.63901,                0.32935,                 1.5486,                 1.4027,                 1.3388,                 1.8815,                 1.8564,                 1.2739,              0.0010483,              0.0010483,              0.0010483
                     60,                  1.536,                 1.2657,                 1.3452,                 1.8613,                 1.7596,                 1.2547,                0.75009,                0.45741,                0.58956,                0.31475,                 1.5381,                 1.2259,                 1.3198,                 1.8527,                 1.7397,                 1.2569,              0.0010472,              0.0010472,              0.0010472
                     61,                 1.5286,                 1.2028,                 1.3172,                 1.7968,                 1.6942,                 1.2192,                0.64771,                  0.463,                0.59477,                0.33938,                  1.554,                 1.3124,                 1.3205,                 1.7007,                 1.7635,                 1.1601,              0.0010461,              0.0010461,              0.0010461
                     62,                 1.5818,                  1.275,                 1.3663,                 1.8451,                 1.7768,                 1.2861,                0.61525,                0.56877,                0.63611,                0.33993,                 1.4665,                 1.2523,                 1.3177,                 1.6398,                 1.7664,                 1.2289,               0.001045,               0.001045,               0.001045
                     63,                   1.51,                 1.2388,                 1.3333,                 1.8053,                 1.6719,                 1.2383,                0.64762,                0.56431,                0.62361,                0.36092,                 1.4055,                  1.302,                 1.2921,                 1.6442,                 1.7174,                 1.2214,              0.0010439,              0.0010439,              0.0010439
                     64,                  1.469,                 1.2031,                 1.2958,                 1.7078,                 1.6333,                 1.2062,                0.66234,                0.52487,                0.62435,                0.34468,                 1.4946,                 1.3854,                 1.3345,                  1.753,                 1.6728,                 1.2147,              0.0010428,              0.0010428,              0.0010428
                     65,                 1.4737,                 1.2223,                 1.2954,                 1.7615,                 1.6738,                 1.2266,                 0.6301,                0.45566,                0.60721,                0.32282,                 1.4673,                 1.3938,                 1.2799,                 1.8335,                 1.6507,                 1.2011,              0.0010417,              0.0010417,              0.0010417
                     66,                 1.5036,                 1.2133,                 1.2843,                 1.7691,                 1.6656,                 1.2031,                0.65652,                0.59759,                 0.6654,                 0.3604,                 1.4991,                 1.2124,                 1.2974,                 1.7241,                 1.6592,                 1.2102,              0.0010406,              0.0010406,              0.0010406
                     67,                 1.4873,                  1.214,                 1.2973,                 1.7807,                 1.7176,                 1.2151,                0.67067,                0.64096,                0.71555,                0.39054,                 1.4051,                 1.2274,                   1.27,                 1.6472,                 1.5312,                 1.1671,              0.0010395,              0.0010395,              0.0010395
                     68,                 1.4225,                 1.1261,                 1.2438,                 1.7394,                 1.4898,                 1.1705,                0.68657,                0.61146,                0.72329,                0.40614,                 1.4082,                 1.1767,                 1.2558,                 1.5347,                 1.5621,                 1.1603,              0.0010384,              0.0010384,              0.0010384
                     69,                 1.4097,                 1.1931,                 1.2491,                 1.6849,                 1.6329,                 1.1896,                0.69517,                0.63591,                0.69922,                0.35461,                 1.4357,                  1.461,                 1.2625,                 1.5596,                 1.7023,                 1.1715,              0.0010373,              0.0010373,              0.0010373
                     70,                 1.4512,                  1.175,                 1.2694,                 1.7789,                 1.6107,                 1.2029,                0.62198,                0.68125,                0.68513,                 0.3667,                 1.5123,                 1.2653,                 1.3138,                  1.636,                 1.5865,                 1.1723,              0.0010362,              0.0010362,              0.0010362
                     71,                 1.4839,                 1.1938,                 1.3086,                 1.7777,                 1.5958,                 1.2327,                0.60523,                 0.6281,                0.72936,                0.40457,                 1.4643,                 1.2165,                 1.2506,                 1.6702,                 1.6325,                 1.1764,              0.0010351,              0.0010351,              0.0010351
                     72,                 1.4273,                 1.1615,                 1.2543,                 1.7235,                 1.5949,                 1.1882,                0.60693,                0.63859,                0.67887,                0.37661,                 1.2819,                 1.1358,                 1.1809,                 1.5925,                  1.543,                 1.1208,               0.001034,               0.001034,               0.001034
                     73,                 1.4435,                 1.1519,                 1.2703,                 1.7189,                 1.5858,                 1.2153,                0.65323,                0.58879,                  0.696,                0.37856,                 1.3875,                 1.1782,                 1.2188,                 1.7273,                 1.5869,                 1.1715,              0.0010329,              0.0010329,              0.0010329
                     74,                 1.4021,                 1.1367,                  1.231,                   1.69,                 1.5315,                 1.1934,                0.78191,                0.62589,                0.71038,                0.37029,                 1.4934,                 1.2487,                 1.3034,                 1.7245,                   1.64,                 1.1956,              0.0010318,              0.0010318,              0.0010318
                     75,                 1.4107,                  1.162,                 1.2668,                  1.676,                 1.5895,                 1.2173,                0.75824,                0.56603,                0.68841,                0.37694,                 1.4069,                 1.3112,                 1.2816,                 1.6145,                 1.6743,                 1.1894,              0.0010307,              0.0010307,              0.0010307
                     76,                 1.4337,                 1.1418,                  1.211,                 1.7283,                 1.4924,                 1.1591,                0.67432,                0.63824,                0.72273,                0.39367,                  1.347,                 1.1503,                 1.1905,                 1.7998,                 1.3885,                 1.2024,              0.0010296,              0.0010296,              0.0010296
                     77,                 1.4152,                 1.1154,                 1.2281,                 1.7201,                  1.499,                 1.1862,                0.67216,                0.66044,                0.70532,                0.39225,                 1.2991,                 1.2723,                 1.1565,                 1.6197,                 1.5543,                  1.147,              0.0010285,              0.0010285,              0.0010285
                     78,                 1.4029,                 1.1056,                 1.2225,                 1.7326,                 1.5134,                 1.1614,                0.71565,                0.69418,                0.71844,                0.40935,                 1.3218,                 1.1449,                 1.1965,                 1.6154,                  1.454,                 1.1704,              0.0010274,              0.0010274,              0.0010274
                     79,                 1.3864,                 1.0761,                 1.1983,                 1.7034,                 1.4398,                 1.1501,                0.66575,                0.64169,                0.67361,                0.37405,                 1.4563,                 1.1979,                  1.256,                  1.693,                 1.6769,                  1.189,              0.0010263,              0.0010263,              0.0010263
                     80,                 1.3441,                 1.1082,                 1.2058,                 1.6879,                 1.4663,                 1.1824,                0.63175,                0.65602,                0.70128,                0.42183,                 1.3301,                 1.2012,                 1.1765,                 1.6346,                 1.5501,                 1.1565,              0.0010252,              0.0010252,              0.0010252
                     81,                 1.3277,                  1.051,                 1.1841,                 1.6002,                 1.3775,                 1.1446,                0.65747,                0.58048,                0.70747,                0.42383,                 1.3636,                 1.2445,                 1.2002,                 1.6808,                 1.6265,                  1.143,              0.0010241,              0.0010241,              0.0010241
                     82,                 1.4336,                 1.1595,                  1.274,                 1.7092,                 1.5011,                 1.2144,                0.58377,                0.63023,                0.64062,                0.36446,                 1.3772,                 1.1918,                 1.2042,                 1.8464,                  1.454,                 1.1799,               0.001023,               0.001023,               0.001023
