               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,             0.03789,            0.010065,           0.0054115,             0.89575,             0.88974,             0.92413,             0.47054,            0.035253,           0.0067059,           0.0051425,           0.0093466,           0.0093466,           0.0093466
                  68,            0.036236,           0.0095198,           0.0051816,             0.87801,              0.8796,             0.90957,             0.46385,            0.036773,           0.0066019,           0.0037365,           0.0093367,           0.0093367,           0.0093367
                  69,             0.03481,           0.0087293,           0.0058067,             0.87534,             0.90989,             0.92561,             0.49046,            0.036025,           0.0065399,           0.0034811,           0.0093268,           0.0093268,           0.0093268
                  70,            0.036505,           0.0096319,            0.005155,             0.83039,             0.92957,             0.91182,             0.47765,            0.039244,            0.006503,           0.0031929,           0.0093169,           0.0093169,           0.0093169
                  71,            0.037135,           0.0096852,           0.0049817,             0.91644,             0.91168,             0.95787,             0.47577,            0.035281,           0.0065775,           0.0032163,            0.009307,            0.009307,            0.009307
                  72,            0.037371,           0.0094515,           0.0051284,             0.86024,             0.85255,             0.86322,              0.4584,            0.039576,           0.0066931,           0.0036197,           0.0092971,           0.0092971,           0.0092971
                  73,             0.03667,           0.0099191,            0.004675,             0.89122,             0.91456,             0.92756,             0.51118,            0.036883,           0.0069434,           0.0042477,           0.0092872,           0.0092872,           0.0092872
                  74,            0.035937,           0.0092386,           0.0045033,             0.91534,             0.89693,             0.92705,             0.46443,            0.040567,           0.0066672,           0.0037653,           0.0092773,           0.0092773,           0.0092773
                  75,            0.036056,           0.0096861,           0.0053896,             0.96269,              0.8272,             0.88634,             0.43482,            0.038862,              0.0069,           0.0038471,           0.0092674,           0.0092674,           0.0092674
                  76,            0.036721,            0.009352,            0.005718,             0.90496,             0.87329,             0.90479,             0.50829,            0.035794,           0.0066748,            0.004221,           0.0092575,           0.0092575,           0.0092575
                  77,            0.036755,           0.0096355,           0.0044124,             0.91073,             0.90206,             0.91562,             0.46191,            0.035166,            0.006604,           0.0031631,           0.0092476,           0.0092476,           0.0092476
